,Date,Store,DayOfWeek,Sales,Customers,Open,Promo,StateHoliday,SchoolHoliday
855,2015-08-01,1,6,,,1.0,0,0,1
1711,2015-08-02,1,7,,,0.0,0,0,1
2567,2015-08-03,1,1,,,1.0,1,0,1
3423,2015-08-04,1,2,,,1.0,1,0,1
4279,2015-08-05,1,3,,,1.0,1,0,1
5135,2015-08-06,1,4,,,1.0,1,0,1
5991,2015-08-07,1,5,,,1.0,1,0,1
6847,2015-08-08,1,6,,,1.0,0,0,1
7703,2015-08-09,1,7,,,0.0,0,0,1
8559,2015-08-10,1,1,,,1.0,0,0,1
9415,2015-08-11,1,2,,,1.0,0,0,1
10271,2015-08-12,1,3,,,1.0,0,0,1
11127,2015-08-13,1,4,,,1.0,0,0,1
11983,2015-08-14,1,5,,,1.0,0,0,1
12839,2015-08-15,1,6,,,1.0,0,0,1
13695,2015-08-16,1,7,,,0.0,0,0,1
14551,2015-08-17,1,1,,,1.0,1,0,1
15407,2015-08-18,1,2,,,1.0,1,0,1
16263,2015-08-19,1,3,,,1.0,1,0,1
17119,2015-08-20,1,4,,,1.0,1,0,1
17975,2015-08-21,1,5,,,1.0,1,0,1
18831,2015-08-22,1,6,,,1.0,0,0,1
19687,2015-08-23,1,7,,,0.0,0,0,1
20543,2015-08-24,1,1,,,1.0,0,0,1
21399,2015-08-25,1,2,,,1.0,0,0,1
22255,2015-08-26,1,3,,,1.0,0,0,1
23111,2015-08-27,1,4,,,1.0,0,0,1
23967,2015-08-28,1,5,,,1.0,0,0,1
24823,2015-08-29,1,6,,,1.0,0,0,1
25679,2015-08-30,1,7,,,0.0,0,0,1
26535,2015-08-31,1,1,,,1.0,1,0,1
27391,2015-09-01,1,2,,,1.0,1,0,1
28247,2015-09-02,1,3,,,1.0,1,0,1
29103,2015-09-03,1,4,,,1.0,1,0,1
29959,2015-09-04,1,5,,,1.0,1,0,1
30815,2015-09-05,1,6,,,1.0,0,0,0
31671,2015-09-06,1,7,,,0.0,0,0,0
32527,2015-09-07,1,1,,,1.0,0,0,0
33383,2015-09-08,1,2,,,1.0,0,0,0
34239,2015-09-09,1,3,,,1.0,0,0,0
35095,2015-09-10,1,4,,,1.0,0,0,0
35951,2015-09-11,1,5,,,1.0,0,0,0
36807,2015-09-12,1,6,,,1.0,0,0,0
37663,2015-09-13,1,7,,,0.0,0,0,0
38519,2015-09-14,1,1,,,1.0,1,0,0
39375,2015-09-15,1,2,,,1.0,1,0,0
40231,2015-09-16,1,3,,,1.0,1,0,0
41087,2015-09-17,1,4,,,1.0,1,0,0
